acceleration,model year,origin,car name,mpg,cylinders,displacement,horsepower,weight
12.0,70,1,chevrolet chevelle malibu,18.0,8,307.0,130,3504
11.5,70,1,buick skylark 320,15.0,8,350.0,165,3693
11.0,70,1,plymouth satellite,18.0,8,318.0,150,3436
12.0,70,1,amc rebel sst,16.0,8,304.0,150,3433
10.5,70,1,ford torino,17.0,8,302.0,140,3449
10.0,70,1,ford galaxie 500,15.0,8,429.0,198,4341
9.0,70,1,chevrolet impala,14.0,8,454.0,220,4354
8.5,70,1,plymouth fury iii,14.0,8,440.0,215,4312
10.0,70,1,pontiac catalina,14.0,8,455.0,225,4425
8.5,70,1,amc ambassador dpl,15.0,8,390.0,190,3850
10.0,70,1,dodge challenger se,15.0,8,383.0,170,3563
8.0,70,1,plymouth 'cuda 340,14.0,8,340.0,160,3609
9.5,70,1,chevrolet monte carlo,15.0,8,400.0,150,3761
10.0,70,1,buick estate wagon (sw),14.0,8,455.0,225,3086
15.0,70,3,toyota corona mark ii,24.0,4,113.0,95,2372
15.5,70,1,plymouth duster,22.0,6,198.0,95,2833
15.5,70,1,amc hornet,18.0,6,199.0,97,2774
16.0,70,1,ford maverick,21.0,6,200.0,85,2587
14.5,70,3,datsun pl510,27.0,4,97.0,88,2130
20.5,70,2,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835
17.5,70,2,peugeot 504,25.0,4,110.0,87,2672
14.5,70,2,audi 100 ls,24.0,4,107.0,90,2430
17.5,70,2,saab 99e,25.0,4,104.0,95,2375
12.5,70,2,bmw 2002,26.0,4,121.0,113,2234
15.0,70,1,amc gremlin,21.0,6,199.0,90,2648
14.0,70,1,ford f250,10.0,8,360.0,215,4615
15.0,70,1,chevy c20,10.0,8,307.0,200,4376
13.5,70,1,dodge d200,11.0,8,318.0,210,4382
18.5,70,1,hi 1200d,9.0,8,304.0,193,4732
14.5,71,3,datsun pl510,27.0,4,97.0,88,2130
15.5,71,1,chevrolet vega 2300,28.0,4,140.0,90,2264
14.0,71,3,toyota corona,25.0,4,113.0,95,2228
19.0,71,1,ford pinto,25.0,4,98.0,?,2046
13.0,71,1,amc gremlin,19.0,6,232.0,100,2634
15.5,71,1,plymouth satellite custom,16.0,6,225.0,105,3439
15.5,71,1,chevrolet chevelle malibu,17.0,6,250.0,100,3329
15.5,71,1,ford torino 500,19.0,6,250.0,88,3302
15.5,71,1,amc matador,18.0,6,232.0,100,3288
12.0,71,1,chevrolet impala,14.0,8,350.0,165,4209
11.5,71,1,pontiac catalina brougham,14.0,8,400.0,175,4464
13.5,71,1,ford galaxie 500,14.0,8,351.0,153,4154
13.0,71,1,plymouth fury iii,14.0,8,318.0,150,4096
