발생년도,경찰서,소계,살인,강도,절도,폭력
2018,서울중부서,"2,239",1,5,"1,057","1,176"
2018,서울종로서,"1,881",5,1,744,"1,131"
2018,서울남대문서,"1,584",1,6,798,779
2018,서울서대문서,"2,596",5,3,"1,062","1,526"
2018,서울혜화서,"1,573",1,2,739,831
2018,서울용산서,"3,080",1,3,"1,096","1,980"
2018,서울성북서,"1,487",1,0,600,886
2018,서울동대문서,"3,535",2,5,"1,447","2,081"
2018,서울마포서,"4,699",6,6,"2,011","2,676"
2018,서울영등포서,"5,449",17,8,"2,292","3,132"
2018,서울성동서,"2,331",2,5,999,"1,325"
2018,서울동작서,"2,812",3,7,"1,151","1,651"
2018,서울광진서,"3,686",7,2,"1,769","1,908"
2018,서울서부서,"1,316",4,0,505,807
2018,서울강북서,"3,249",8,7,"1,112","2,122"
2018,서울금천서,"3,093",6,7,"1,168","1,912"
2018,서울중랑서,"4,114",4,3,"1,526","2,581"
2018,서울강남서,"4,222",5,9,"2,020","2,188"
2018,서울관악서,"4,674",9,10,"2,012","2,643"
2018,서울강서서,"4,360",11,6,"1,724","2,619"
2018,서울강동서,"3,749",3,7,"1,515","2,224"
2018,서울종암서,"1,372",6,1,564,801
2018,서울구로서,"4,560",8,9,"1,717","2,826"
2018,서울서초서,"3,399",5,4,"1,482","1,908"
2018,서울양천서,"3,395",2,4,"1,384","2,005"
2018,서울송파서,"5,498",5,6,"2,352","3,135"
2018,서울노원서,"3,813",5,5,"1,422","2,381"
2018,서울방배서,857,0,1,369,487
2018,서울은평서,"2,086",4,1,773,"1,308"
2018,서울도봉서,"2,136",1,5,781,"1,349"
2018,서울수서서,"2,691",5,5,984,"1,697"
2018,부산중부서,"1,709",1,2,927,779
2018,부산동래서,"2,431",3,6,"1,048","1,374"
2018,부산영도서,986,4,2,324,656
2018,부산동부서,"1,390",0,4,570,816
2018,부산진서,"5,609",1,17,"2,342","3,249"
2018,부산서부서,"1,312",3,6,725,578
2018,부산남부서,"3,525",8,9,"1,433","2,075"
2018,부산해운대서,"3,360",3,3,"1,348","2,006"
2018,부산사상서,"2,312",5,8,991,"1,308"
2018,부산금정서,"2,080",4,7,944,"1,125"
2018,부산사하서,"2,734",4,8,"1,042","1,680"
2018,부산연제서,"2,563",5,8,974,"1,576"
2018,부산강서서,977,2,1,491,483
2018,부산북부서,"2,210",6,3,793,"1,408"
2018,부산기장서,"1,176",3,2,406,765
2018,대구중부서,"2,502",1,3,"1,135","1,363"
2018,대구동부서,"3,335",8,11,"1,292","2,024"
2018,대구서부서,"2,129",3,3,674,"1,449"
2018,대구남부서,"1,672",4,5,537,"1,126"
2018,대구북부서,"1,753",1,2,634,"1,116"
2018,대구수성서,"2,634",2,5,985,"1,642"
2018,대구달서서,"2,133",5,1,749,"1,378"
2018,대구성서서,"2,420",2,12,970,"1,436"
2018,대구달성서,"1,529",2,1,683,843
2018,대구강북서,"1,521",2,1,521,997
2018,인천중부서,"2,391",3,4,784,"1,600"
2018,인천미추홀서,"4,726",6,8,"1,516","3,196"
2018,인천남동서,"3,577",4,0,"1,065","2,508"
2018,인천부평서,"2,939",5,6,"1,056","1,872"
2018,인천서부서,"4,446",9,6,"1,375","3,056"
2018,인천계양서,"2,660",3,3,754,"1,900"
2018,인천강화서,535,1,0,133,401
2018,인천연수서,"2,228",2,2,841,"1,383"
2018,인천삼산서,"3,677",6,6,"1,359","2,306"
2018,인천논현서,"1,667",5,1,576,"1,085"
2018,광주동부서,"1,582",0,2,601,979
2018,광주서부서,"3,421",4,3,"1,163","2,251"
2018,광주북부서,"3,565",6,12,"1,416","2,131"
2018,광주광산서,"3,044",5,9,"1,048","1,982"
2018,광주남부서,"1,526",3,1,606,916
2018,대전중부서,"3,132",6,15,"1,026","2,085"
2018,대전동부서,"2,577",0,10,999,"1,568"
2018,대전서부서,"2,166",2,6,699,"1,459"
2018,대전대덕서,"1,766",1,6,652,"1,107"
2018,대전둔산서,"2,556",3,8,"1,058","1,487"
2018,대전유성서,"2,612",3,6,"1,107","1,496"
2018,울산남부서,"3,359",4,10,"1,040","2,305"
2018,울산중부서,"2,883",2,6,"1,096","1,779"
2018,울산울주서,"1,617",0,6,561,"1,050"
2018,울산동부서,"1,912",4,4,645,"1,259"
2018,경기수원중부서,"4,378",6,8,"1,656","2,708"
2018,경기수원남부서,"5,648",5,7,"2,283","3,353"
2018,경기수원서부서,"3,460",5,5,"1,443","2,007"
2018,경기안양동안서,"2,175",3,1,710,"1,461"
2018,경기안양만안서,"2,734",3,2,947,"1,782"
2018,경기군포서,"1,862",3,0,659,"1,200"
2018,경기성남수정서,"2,603",10,4,888,"1,701"
2018,경기성남중원서,"2,793",2,8,986,"1,797"
2018,경기분당서,"2,991",5,4,"1,252","1,730"
2018,경기부천소사서,"1,837",4,5,775,"1,053"
2018,경기부천원미서,"5,531",7,9,"2,397","3,118"
2018,경기부천오정서,"1,519",2,6,542,969
2018,경기광명서,"2,664",2,7,"1,029","1,626"
2018,경기안산단원서,"4,951",5,4,"1,954","2,988"
2018,경기안산상록서,"2,892",3,6,"1,073","1,810"
2018,경기시흥서,"4,575",9,9,"1,712","2,845"
2018,경기평택서,"6,193",9,14,"2,064","4,106"
2018,경기오산서,"4,964",11,12,"1,822","3,119"
2018,경기화성서부서,"2,889",10,2,982,"1,895"
2018,경기용인동부서,"3,611",10,1,"1,428","2,172"
2018,경기용인서부서,"1,955",2,0,778,"1,175"
2018,경기광주서,"2,684",6,3,814,"1,861"
2018,경기과천서,388,0,0,175,213
2018,경기의왕서,719,2,2,217,498
2018,경기하남서,"1,498",4,0,547,947
2018,경기이천서,"2,397",2,0,780,"1,615"
2018,경기김포서,"2,961",2,4,"1,015","1,940"
2018,경기안성서,"1,753",3,3,620,"1,127"
2018,경기여주서,"1,062",5,0,414,643
2018,경기양평서,838,2,0,315,521
2018,경기화성동탄서,15,0,0,4,11
2018,경기의정부서,"5,032",9,10,"1,718","3,295"
2018,경기고양서,"3,075",5,2,882,"2,186"
2018,경기일산동부서,"2,614",4,4,834,"1,772"
2018,경기일산서부서,"1,631",4,1,551,"1,075"
2018,경기남양주서,"4,268",7,3,"1,275","2,983"
2018,경기파주서,"3,225",9,5,"1,113","2,098"
2018,경기양주서,"1,806",3,0,476,"1,327"
2018,경기동두천서,"1,006",2,2,329,673
2018,경기구리서,"2,388",4,5,831,"1,548"
2018,경기포천서,"1,560",4,6,565,985
2018,경기가평서,589,2,1,142,444
2018,경기연천서,361,0,1,114,246
2018,강원강릉서,"2,185",2,3,656,"1,524"
2018,강원고성서,179,2,0,39,138
2018,강원동해서,770,1,0,165,604
2018,강원삼척서,764,2,2,224,536
2018,강원속초서,"1,271",2,1,298,970
2018,강원양구서,117,3,0,61,53
2018,강원영월서,221,0,0,77,144
2018,강원원주서,"3,235",3,3,"1,065","2,164"
2018,강원인제서,147,0,1,40,106
2018,강원정선서,380,1,1,179,199
2018,강원철원서,219,0,0,104,115
2018,강원춘천서,"2,316",3,3,880,"1,430"
2018,강원태백서,344,2,0,77,265
2018,강원평창서,242,1,0,66,175
2018,강원홍천서,604,3,1,220,380
2018,강원화천서,145,0,0,50,95
2018,강원횡성서,256,0,1,99,156
2018,충북괴산서,455,0,2,243,210
2018,충북단양서,218,0,0,81,137
2018,충북보은서,178,0,0,54,124
2018,충북영동서,255,0,1,105,149
2018,충북옥천서,250,1,0,93,156
2018,충북음성서,751,2,5,231,513
2018,충북제천서,915,3,4,307,601
2018,충북진천서,617,1,0,199,417
2018,충북청주청원서,"2,756",2,4,"1,040","1,710"
2018,충북청주흥덕서,"3,227",12,5,"1,349","1,861"
2018,충북충주서,"1,716",2,2,770,942
2018,충북청주상당서,"2,323",7,6,943,"1,367"
2018,충남천안서북서,"4,106",7,12,"1,744","2,343"
2018,충남천안동남서,"3,197",1,7,"1,506","1,683"
2018,충남서산서,"1,744",1,0,604,"1,139"
2018,충남아산서,"3,155",9,7,"1,164","1,975"
2018,충남논산서,"1,191",5,1,520,665
2018,충남공주서,870,0,1,370,499
2018,충남보령서,681,2,1,275,403
2018,충남당진서,"1,333",1,6,571,755
2018,충남세종서,"1,310",5,5,588,712
2018,충남홍성서,662,3,2,277,380
2018,충남예산서,586,1,1,250,334
2018,충남부여서,421,1,0,211,209
2018,충남서천서,299,1,0,122,176
2018,충남금산서,301,0,1,126,174
2018,충남청양서,154,0,1,65,88
2018,충남태안서,519,1,0,180,338
2018,전북고창서,352,0,0,110,242
2018,전북군산서,"2,629",5,4,"1,016","1,604"
2018,전북김제서,574,0,1,161,412
2018,전북남원서,630,3,3,248,376
2018,전북무주서,138,2,0,47,89
2018,전북부안서,417,1,1,160,255
2018,전북순창서,121,0,0,50,71
2018,전북완주서,509,4,1,224,280
2018,전북익산서,"2,670",5,6,977,"1,682"
2018,전북임실서,104,0,0,38,66
2018,전북장수서,88,0,0,37,51
2018,전북전주덕진서,"2,713",8,4,"1,178","1,523"
2018,전북전주완산서,"2,566",6,7,"1,035","1,518"
2018,전북정읍서,816,3,0,310,503
2018,전북진안서,120,0,0,62,58
2018,전남목포서,"3,044",5,10,"1,036","1,993"
2018,전남여수서,"2,797",9,3,791,"1,994"
2018,전남순천서,"2,280",4,2,740,"1,534"
2018,전남나주서,743,2,1,306,434
2018,전남광양서,"1,096",2,3,319,772
2018,전남고흥서,454,0,0,131,323
2018,전남해남서,435,2,2,134,297
2018,전남장흥서,409,0,0,130,279
2018,전남보성서,237,0,0,87,150
2018,전남영광서,394,0,1,116,277
2018,전남화순서,427,2,0,144,281
2018,전남함평서,187,0,0,90,97
2018,전남영암서,379,2,1,152,224
2018,전남장성서,248,1,1,115,131
2018,전남강진서,250,1,0,75,174
2018,전남담양서,305,0,0,134,171
2018,전남곡성서,174,0,0,65,109
2018,전남완도서,379,0,1,120,258
2018,전남무안서,445,2,2,180,261
2018,전남진도서,243,1,0,77,165
2018,전남구례서,157,0,0,46,111
2018,경북경주서,"1,922",4,7,825,"1,086"
2018,경북포항북부서,"2,290",6,4,895,"1,385"
2018,경북포항남부서,"1,998",7,2,794,"1,195"
2018,경북구미서,"3,156",6,7,"1,361","1,782"
2018,경북경산서,"2,497",3,4,972,"1,518"
2018,경북안동서,"1,240",0,1,408,831
2018,경북김천서,"1,063",1,4,366,692
2018,경북영주서,625,1,2,194,428
2018,경북영천서,853,1,2,364,486
2018,경북상주서,625,1,0,245,379
2018,경북문경서,478,2,0,142,334
2018,경북칠곡서,738,4,2,245,487
2018,경북의성서,280,1,0,102,177
2018,경북청도서,241,2,0,78,161
2018,경북영덕서,372,4,0,157,211
2018,경북울진서,270,0,0,85,185
2018,경북봉화서,147,1,0,29,117
2018,경북예천서,219,0,0,88,131
2018,경북성주서,297,0,0,124,173
2018,경북청송서,172,0,1,29,142
2018,경북영양서,65,1,0,11,53
2018,경북군위서,124,0,0,51,73
2018,경북고령서,148,0,0,47,101
2018,경북울릉서,49,0,0,9,40
2018,경남창원중부서,"2,358",3,10,965,"1,380"
2018,경남창원서부서,"1,722",1,4,696,"1,021"
2018,경남마산중부서,"1,452",12,3,529,908
2018,경남마산동부서,"1,972",4,1,774,"1,193"
2018,경남진주서,"3,364",6,5,"1,723","1,630"
2018,경남김해중부서,"3,764",6,7,"1,690","2,061"
2018,경남김해서부서,"1,694",1,3,710,980
2018,경남양산서,"2,318",5,4,988,"1,321"
2018,경남거제서,"1,955",4,2,793,"1,156"
2018,경남진해서,"1,332",2,1,413,916
2018,경남통영서,"1,290",3,3,392,892
2018,경남사천서,814,2,3,205,604
2018,경남밀양서,679,4,2,246,427
2018,경남거창서,381,2,0,148,231
2018,경남합천서,224,0,0,76,148
2018,경남창녕서,297,3,0,100,194
2018,경남고성서,339,1,0,157,181
2018,경남하동서,224,1,0,84,139
2018,경남남해서,197,0,0,65,132
2018,경남함양서,218,1,0,94,123
2018,경남산청서,179,0,0,72,107
2018,경남함안서,377,0,0,121,256
2018,경남의령서,145,0,1,49,95
2018,제주서귀포서,"2,315",6,1,854,"1,454"
2018,제주동부서,"3,014",3,6,"1,083","1,922"
2018,제주서부서,"3,016",6,3,"1,036","1,971"
2019,서울중부서,"2,338",1,4,"1,198","1,135"
2019,서울종로서,"2,073",2,5,816,"1,250"
2019,서울남대문서,"1,794",1,2,"1,004",787
2019,서울서대문서,"2,768",2,5,"1,226","1,535"
2019,서울혜화서,"1,535",2,2,699,832
2019,서울용산서,"3,041",3,3,999,"2,036"
2019,서울성북서,"1,181",2,0,442,737
2019,서울동대문서,"3,524",6,10,"1,531","1,977"
2019,서울마포서,"4,347",2,2,"2,190","2,153"
2019,서울영등포서,"5,464",10,3,"2,409","3,042"
2019,서울성동서,"2,379",6,9,970,"1,394"
2019,서울동작서,"3,149",4,1,"1,328","1,816"
2019,서울광진서,"3,738",4,6,"1,875","1,853"
2019,서울서부서,"1,469",1,0,624,844
2019,서울강북서,"3,662",6,3,"1,229","2,424"
2019,서울금천서,"2,952",6,10,"1,157","1,779"
2019,서울중랑서,"4,130",10,4,"1,666","2,450"
2019,서울강남서,"4,195",3,3,"2,003","2,186"
2019,서울관악서,"4,920",13,10,"2,223","2,674"
2019,서울강서서,"4,618",8,3,"2,050","2,557"
2019,서울강동서,"3,834",6,15,"1,650","2,163"
2019,서울종암서,"1,520",1,3,640,876
2019,서울구로서,"4,481",10,3,"1,916","2,552"
2019,서울서초서,"4,027",4,7,"1,867","2,149"
2019,서울양천서,"3,087",6,2,"1,477","1,602"
2019,서울송파서,"5,425",7,10,"2,416","2,992"
2019,서울노원서,"3,969",4,3,"1,498","2,464"
2019,서울방배서,899,1,0,403,495
2019,서울은평서,"2,217",2,1,941,"1,273"
2019,서울도봉서,"2,020",1,5,790,"1,224"
2019,서울수서서,"2,443",2,2,967,"1,472"
2019,부산중부서,"1,529",3,4,700,822
2019,부산동래서,"2,416",4,6,938,"1,468"
2019,부산영도서,"1,021",4,5,350,662
2019,부산동부서,"1,640",0,10,696,934
2019,부산진서,"5,751",7,16,"2,424","3,304"
2019,부산서부서,"1,207",1,4,606,596
2019,부산남부서,"3,792",8,5,"1,541","2,238"
2019,부산해운대서,"3,327",3,5,"1,305","2,014"
2019,부산사상서,"2,480",8,3,"1,023","1,446"
2019,부산금정서,"2,245",10,11,"1,036","1,188"
2019,부산사하서,"2,574",10,4,"1,025","1,535"
2019,부산연제서,"2,722",3,5,"1,068","1,646"
2019,부산강서서,"1,000",1,0,474,525
2019,부산북부서,"2,425",1,3,807,"1,614"
2019,부산기장서,"1,154",0,1,497,656
2019,대구중부서,"3,017",1,4,"1,484","1,528"
2019,대구동부서,"3,051",8,5,"1,237","1,801"
2019,대구서부서,"2,066",0,5,693,"1,368"
2019,대구남부서,"1,837",4,2,724,"1,107"
2019,대구북부서,"1,975",1,3,750,"1,221"
2019,대구수성서,"2,657",6,3,"1,101","1,547"
2019,대구달서서,"2,106",4,0,895,"1,207"
2019,대구성서서,"2,752",6,6,"1,154","1,586"
2019,대구달성서,"1,543",6,2,636,899
