시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
유치원,동산자연유치원,전라북도 익산시 현영길 40-11,전북 익산시 현영동 214-1,35.9646312659,126.9373153743,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,왕궁초등학교,전라북도 익산시 왕궁면 견우길 3,전북 익산시 왕궁면 흥암리 150,35.96632633,127.0898827,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,왕궁초등학교병설유치원,전라북도 익산시 왕궁면 견우길 3,전북 익산시 왕궁면 흥암리 150,35.96632633,127.0898827,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,왕궁남초등학교,전라북도 익산시 왕궁면 학호길 12,전북 익산시 왕궁면 온수리 202-4,35.9270823829,127.0755188349,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,왕궁남초등학교병설유치원,전라북도 익산시 왕궁면 학호길 12,전북 익산시 왕궁면 온수리 202-4,35.9270823829,127.0755188349,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,오산초등학교,전라북도 익산시 오산면 오산로 38,전북 익산시 오산면 오산리 25-1,35.94190656,126.9158496255,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,오산초등학교병설유치원,전라북도 익산시 오산면 오산로 38,전북 익산시 오산면 오산리 25-1,35.94190656,126.9158496255,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리초등학교,전라북도 익산시 중앙로15길 20,전북 익산시 마동 260-2,35.9386634,126.9594164,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리초등학교병설유치원,전라북도 익산시 중앙로15길 20,전북 익산시 마동 260-2,35.9386634,126.9594164,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리동남초등학교,전라북도 익산시 동천로7길 18,전북 익산시 동산동 140-1,35.93131975,126.9707098,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리동남초등학교병설유치원,전라북도 익산시 동천로7길 18,전북 익산시 동산동 140-1,35.93131975,126.9707098,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리계문초등학교,전라북도 익산시 계문길 79-8,전북 익산시 신용동 670-2,35.9736567928,126.9442256863,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리부천초등학교,전라북도 익산시 부송1로 32,전북 익산시 부송동 1070,35.95655003,126.9855161,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리부천초등학교병설유치원,전라북도 익산시 부송1로 32,전북 익산시 부송동 1070,35.95655003,126.9855161,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
학원,링구아어학원,부산광역시 남구 유엔로157번길 4,부산 남구 대연동 879-17,35.13038328,129.093491,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-06-09,3310000,부산광역시 남구,부산광역시
유치원,대연자연유치원,부산광역시 남구 수영로 345,부산 남구 대연동 1858,35.13988755,129.103525,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-06-09,3310000,부산광역시 남구,부산광역시
유치원,키즈포레유치원,부산광역시 남구 유엔평화로47번길 98,부산 남구 대연동 865-5,35.13056687,129.097632,부산광역시 남구청,부산광역시 남부경찰서,N,,,2021-06-09,3310000,부산광역시 남구,부산광역시
유치원,마루유치원,부산광역시 남구 용주로30번길 69,부산 남구 용호동 563-39,35.10997691,129.113439,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2021-06-09,3310000,부산광역시 남구,부산광역시
어린이집,한샘어린이집,부산광역시 남구 솔밭로 18번길 60,부산 남구 우암동 127-51,35.1283264,129.0739678,부산광역시 남구청,부산광역시 남부경찰서,N,,,2021-06-09,3310000,부산광역시 남구,부산광역시
유치원,새부산유치원,부산광역시 남구 황령대로319번나길 14,부산 남구 대연동 251,35.15034371,129.0908799,부산광역시 남구청,부산광역시 남부경찰서,N,,,2021-06-09,3310000,부산광역시 남구,부산광역시
초등학교,이리고현초등학교,전라북도 익산시 선화로23길 44,전북 익산시 모현동1가 73,35.95210144,126.9468976,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리고현초등학교병설유치원,전라북도 익산시 선화로23길 44,전북 익산시 모현동1가 73,35.95210144,126.9468976,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리남창초등학교,전라북도 익산시 인북로 171,전북 익산시 남중동 252-2,35.94520082,126.9538758,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리남창초등학교병설유치원,전라북도 익산시 인북로 171,전북 익산시 남중동 252-2,35.94520082,126.9538758,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리동초등학교,전라북도 익산시 동서로51길 57,전북 익산시 영등동 155,35.95764099,126.9769609,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리동초등학교병설유치원,전라북도 익산시 동서로51길 57,전북 익산시 영등동 155,35.95764099,126.9769609,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리동산초등학교,전라북도 익산시 평동로23길 46,전북 익산시 동산동 220,35.93185506,126.9639765,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리동산초등학교병설유치원,전라북도 익산시 평동로23길 46,전북 익산시 동산동 220,35.93185506,126.9639765,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리모현초등학교,전라북도 익산시 배산로14길 12-4,전북 익산시 모현동1가 264-7,35.94552272,126.9399639,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리북일초등학교,전라북도 익산시 동서로19길 100,전북 익산시 신동 764-1,35.96278776,126.9592222,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리북일초등학교병설유치원,전라북도 익산시 동서로19길 100,전북 익산시 신동 764-1,35.96278776,126.9592222,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리영등초등학교,전라북도 익산시 동서로41길 37,전북 익산시 영등동 762,35.95307254,126.9723733,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리팔봉초등학교,전라북도 익산시 무왕로31길 10,전북 익산시 팔봉동 403-1,35.96759578,127.0130243,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
유치원,이리팔봉초등학교병설유치원,전라북도 익산시 무왕로31길 10,전북 익산시 팔봉동 403-1,35.96759578,127.0130243,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
초등학교,이리삼성초등학교,전라북도 익산시 하나로15길 17-7,전북 익산시 임상동 227-1,35.9883264090,126.9759497365,전라북도 익산시청,전라북도 익산경찰서,Y,,,2020-10-22,6450000,전라북도,전라북도
어린이집,해찬솔 어린이집,경기도 평택시 산단로121번길 40,경기 평택시 가재동 142-1,37.038737,127.0845217,경기도 평택시청,평택경찰서,Y,1,,2020-04-28,3910000,경기도 평택시,경기도
어린이집,야호 어린이집,경기도 평택시 신한4길 26-1,경기 평택시 비전동 225-25,36.992906,127.1060482,경기도 평택시청,평택경찰서,Y,1,,2020-04-28,3910000,경기도 평택시,경기도
특수학교,에바다학교,경기도 평택시 진위면 하북4길 129-23,경기 평택시 진위면 하북리 72-1,37.11301767,127.066808,경기도 평택시청,평택경찰서,Y,1,,2020-04-28,3910000,경기도 평택시,경기도
유치원,다솜유치원,전라북도 익산시 신기1길 18,전북 익산시 모현동2가 502-10,35.9609392429,126.9360885765,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,천서초등학교,전라북도 익산시 춘포면 천서길 221,전북 익산시 춘포면 천서리 85-2,35.9461524,127.0366528494,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,이리신동초등학교병설유치원,전라북도 익산시 무왕로 981,전북 익산시 신동 626-2,35.9616205,126.9672177416,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,미륵초등학교,전라북도 익산시 금마면 용순길 243,전북 익산시 금마면 용순리 645-1,36.0013819713,127.0226167053,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,미륵초등학교병설유치원,전라북도 익산시 금마면 용순길 243,전북 익산시 금마면 용순리 645-1,36.0013819713,127.0226167053,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,용북초등학교,전라북도 익산시 용안면 용북로 81,전북 익산시 용안면 법성리 375-3,36.1343278624,126.9477188989,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,용북초등학교병설유치원,전라북도 익산시 용안면 용북로 81,전북 익산시 용안면 법성리 375-3,36.1343278624,126.9477188989,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,가온초등학교,전라북도 익산시 선화로1길 106,전북 익산시 모현동2가 636,35.9563259305,126.938257497,전라북도 익산시청,익산경찰서,N,,,2021-03-17,4680000,전라북도 익산시,전라북도
특수학교,전북혜화학교,전라북도 익산시 덕기길 77,전북 익산시 덕기동 751-5,35.9662481614,127.0297243656,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
특수학교,전북맹아학교,전라북도 익산시 서동로46길 41,전북 익산시 석암동 358-25,35.9413716099,127.0055953439,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,동광유치원,전라북도 익산시 평동로 751-1,전북 익산시 동산동 637-13,35.9283429,126.9613801,전라북도 익산시청,익산경찰서,N,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,신광유치원,전라북도 익산시 고봉로 60,전북 익산시 마동 129-2,35.9396089148,126.9625145664,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,천일유치원,전라북도 익산시 주현로2길 12,전북 익산시 인화동2가 39-14,35.9318707036,126.9567514513,전라북도 익산시청,익산경찰서,N,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,참마음유치원,전라북도 익산시 부송로6길 1,전북 익산시 부송동 1043,35.9550811,126.9923072476,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,이리북일초등학교병설유치원,전라북도 익산시 동서로19길 100,전북 익산시 신동 764-1,35.9627877615,126.9592222382,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,이리영등초등학교,전라북도 익산시 동서로41길 37,전북 익산시 영등동 762,35.9530725365,126.9723733011,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,이리팔봉초등학교,전라북도 익산시 무왕로31길 10,전북 익산시 팔봉동 403-1,35.9675957841,127.0130243094,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,이리팔봉초등학교병설유치원,전라북도 익산시 무왕로31길 10,전북 익산시 팔봉동 403-1,35.9675957841,127.0130243094,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,이리삼성초등학교,전라북도 익산시 하나로15길 17-7,전북 익산시 임상동 227-1,35.9883264090,126.9759497365,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,금마초등학교,전라북도 익산시 금마면 금마4길 38,전북 익산시 금마면 동고도리 155,35.9910677092,127.0559199757,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,익산궁동초등학교병설유치원,전라북도 익산시 무왕로25길 26,전북 익산시 부송동 1119,35.9623763599,126.9939117466,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,익산초등학교,전라북도 익산시 동서로61길 27-38,전북 익산시 어양동 593,35.9545959876,126.9795409525,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,익산초등학교병설유치원,전라북도 익산시 동서로61길 27-38,전북 익산시 어양동 593,35.9545959876,126.9795409525,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,한벌초등학교,전라북도 익산시 부송1로 115,전북 익산시 부송동 1204,35.9588795795,126.9945283514,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,익산옥야초등학교,전라북도 익산시 옛둑2길 52,전북 익산시 동산동 539-3,35.9222717689,126.9599920601,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
유치원,익산옥야초등학교병설유치원,전라북도 익산시 옛둑2길 52,전북 익산시 동산동 539-3,35.9222717689,126.9599920601,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
초등학교,다송초등학교,전라북도 익산시 함열읍 익산대로 1351,전북 익산시 함열읍 다송리 477-1,36.0414341,126.9550745916,전라북도 익산시청,익산경찰서,Y,,,2021-03-17,4680000,전라북도 익산시,전라북도
