발생년도,경찰서,소계,살인,강도,절도,폭력
2019,서울중부서,"2,338",1,4,"1,198","1,135"
2019,서울종로서,"2,073",2,5,816,"1,250"
2019,서울남대문서,"1,794",1,2,"1,004",787
2019,서울서대문서,"2,768",2,5,"1,226","1,535"
2019,서울혜화서,"1,535",2,2,699,832
2019,서울용산서,"3,041",3,3,999,"2,036"
2019,서울성북서,"1,181",2,0,442,737
2019,서울동대문서,"3,524",6,10,"1,531","1,977"
2019,서울마포서,"4,347",2,2,"2,190","2,153"
2019,서울영등포서,"5,464",10,3,"2,409","3,042"
2019,서울성동서,"2,379",6,9,970,"1,394"
2019,서울동작서,"3,149",4,1,"1,328","1,816"
2019,서울광진서,"3,738",4,6,"1,875","1,853"
2019,서울서부서,"1,469",1,0,624,844
2019,서울강북서,"3,662",6,3,"1,229","2,424"
2019,서울금천서,"2,952",6,10,"1,157","1,779"
2019,서울중랑서,"4,130",10,4,"1,666","2,450"
2019,서울강남서,"4,195",3,3,"2,003","2,186"
2019,서울관악서,"4,920",13,10,"2,223","2,674"
2019,서울강서서,"4,618",8,3,"2,050","2,557"
2019,서울강동서,"3,834",6,15,"1,650","2,163"
2019,서울종암서,"1,520",1,3,640,876
2019,서울구로서,"4,481",10,3,"1,916","2,552"
2019,서울서초서,"4,027",4,7,"1,867","2,149"
2019,서울양천서,"3,087",6,2,"1,477","1,602"
2019,서울송파서,"5,425",7,10,"2,416","2,992"
2019,서울노원서,"3,969",4,3,"1,498","2,464"
2019,서울방배서,899,1,0,403,495
2019,서울은평서,"2,217",2,1,941,"1,273"
2019,서울도봉서,"2,020",1,5,790,"1,224"
2019,서울수서서,"2,443",2,2,967,"1,472"
2019,부산중부서,"1,529",3,4,700,822
2019,부산동래서,"2,416",4,6,938,"1,468"
2019,부산영도서,"1,021",4,5,350,662
2019,부산동부서,"1,640",0,10,696,934
2019,부산진서,"5,751",7,16,"2,424","3,304"
2019,부산서부서,"1,207",1,4,606,596
2019,부산남부서,"3,792",8,5,"1,541","2,238"
2019,부산해운대서,"3,327",3,5,"1,305","2,014"
2019,부산사상서,"2,480",8,3,"1,023","1,446"
2019,부산금정서,"2,245",10,11,"1,036","1,188"
2019,부산사하서,"2,574",10,4,"1,025","1,535"
2019,부산연제서,"2,722",3,5,"1,068","1,646"
2019,부산강서서,"1,000",1,0,474,525
2019,부산북부서,"2,425",1,3,807,"1,614"
2019,부산기장서,"1,154",0,1,497,656
2019,대구중부서,"3,017",1,4,"1,484","1,528"
2019,대구동부서,"3,051",8,5,"1,237","1,801"
2019,대구서부서,"2,066",0,5,693,"1,368"
2019,대구남부서,"1,837",4,2,724,"1,107"
2019,대구북부서,"1,975",1,3,750,"1,221"
2019,대구수성서,"2,657",6,3,"1,101","1,547"
2019,대구달서서,"2,106",4,0,895,"1,207"
2019,대구성서서,"2,752",6,6,"1,154","1,586"
2019,대구달성서,"1,543",6,2,636,899
2019,대구강북서,"1,701",5,0,579,"1,117"
2019,인천중부서,"2,575",3,6,985,"1,581"
2019,인천미추홀서,"5,097",8,10,"1,748","3,331"
2019,인천남동서,"3,300",6,8,"1,079","2,207"
2019,인천부평서,"2,988",4,11,"1,053","1,920"
2019,인천서부서,"4,671",6,5,"1,325","3,335"
2019,인천계양서,"2,609",5,5,732,"1,867"
2019,인천강화서,514,2,0,169,343
2019,인천연수서,"2,588",8,7,"1,018","1,555"
2019,인천삼산서,"3,655",2,4,"1,333","2,316"
2019,인천논현서,"1,789",4,4,607,"1,174"
2019,광주동부서,"1,581",3,4,602,972
2019,광주서부서,"3,451",4,4,"1,190","2,253"
2019,광주북부서,"3,785",6,15,"1,438","2,326"
2019,광주광산서,"3,201",2,4,"1,081","2,114"
2019,광주남부서,"1,627",1,1,611,"1,014"
2019,대전중부서,"2,786",5,6,"1,221","1,554"
2019,대전동부서,"2,433",3,8,"1,176","1,246"
2019,대전서부서,"2,289",1,4,815,"1,469"
2019,대전대덕서,"1,762",0,1,646,"1,115"
2019,대전둔산서,"2,461",3,4,974,"1,480"
2019,대전유성서,"2,377",6,2,"1,024","1,345"
2019,울산남부서,"3,165",3,14,"1,038","2,110"
2019,울산중부서,"2,785",9,8,968,"1,800"
2019,울산울주서,"1,585",4,3,605,973
2019,울산동부서,"1,740",3,3,594,"1,140"
2019,경기수원중부서,"1,729",3,0,850,876
2019,경기수원남부서,"3,901",2,6,"1,446","2,447"
2019,경기수원서부서,"5,635",10,9,"2,199","3,417"
2019,경기안양동안서,"3,566",4,4,"1,538","2,020"
2019,경기안양만안서,"2,069",1,4,730,"1,334"
2019,경기군포서,"2,763",4,3,"1,010","1,746"
2019,경기성남수정서,"1,840",4,2,655,"1,179"
2019,경기성남중원서,"2,548",1,6,977,"1,564"
2019,경기분당서,"2,591",2,1,953,"1,635"
2019,경기부천소사서,"3,049",1,6,"1,320","1,722"
2019,경기부천원미서,"2,067",3,2,826,"1,236"
2019,경기부천오정서,"5,257",7,10,"2,255","2,985"
2019,경기광명서,"1,684",5,0,632,"1,047"
2019,경기안산단원서,"2,793",1,5,"1,066","1,721"
2019,경기안산상록서,"4,994",8,9,"1,928","3,049"
2019,경기시흥서,"3,117",2,4,"1,049","2,062"
2019,경기평택서,"5,143",3,15,"1,770","3,355"
2019,경기오산서,"6,539",8,12,"2,183","4,336"
2019,경기화성서부서,"2,634",3,7,935,"1,689"
2019,경기용인동부서,"3,004",8,6,"1,032","1,958"
2019,경기용인서부서,"4,127",6,6,"1,594","2,521"
2019,경기광주서,"1,917",2,1,757,"1,157"
2019,경기과천서,"2,624",1,5,766,"1,852"
2019,경기의왕서,407,1,0,191,215
2019,경기하남서,748,1,0,277,470
2019,경기이천서,"1,744",0,1,741,"1,002"
2019,경기김포서,"2,386",2,1,829,"1,554"
2019,경기안성서,"2,798",10,1,982,"1,805"
2019,경기여주서,"1,846",5,5,652,"1,184"
2019,경기양평서,"1,067",0,13,420,634
2019,경기화성동탄서,750,3,2,207,538
2019,경기의정부서,"3,435",6,1,"1,118","2,310"
2019,경기고양서,"5,082",5,4,"1,605","3,468"
2019,경기일산동부서,"3,360",6,6,"1,071","2,277"
2019,경기일산서부서,"2,345",2,1,762,"1,580"
2019,경기남양주서,"1,524",3,1,564,956
2019,경기파주서,"4,222",14,7,"1,510","2,691"
2019,경기양주서,"2,914",5,4,937,"1,968"
2019,경기동두천서,"1,656",5,1,465,"1,185"
2019,경기구리서,973,2,1,352,618
2019,경기포천서,"2,414",1,4,832,"1,577"
2019,경기가평서,"1,584",10,4,522,"1,048"
2019,경기연천서,630,2,1,182,445
2019,강원강릉서,328,0,0,115,213
2019,강원고성서,"2,114",3,4,721,"1,386"
2019,강원동해서,190,0,0,57,133
2019,강원삼척서,724,1,2,170,551
2019,강원속초서,598,0,0,126,472
2019,강원양구서,"1,303",4,3,402,894
2019,강원영월서,178,0,0,109,69
2019,강원원주서,206,1,0,87,118
2019,강원인제서,"3,109",1,8,"1,304","1,796"
2019,강원정선서,126,0,0,30,96
2019,강원철원서,458,2,0,220,236
2019,강원춘천서,184,0,1,66,117
2019,강원태백서,"2,351",7,3,879,"1,462"
2019,강원평창서,390,0,4,90,296
2019,강원홍천서,229,0,0,69,160
2019,강원화천서,596,0,0,194,402
2019,강원횡성서,128,0,0,60,68
2019,충북괴산서,285,3,0,90,192
2019,충북단양서,628,0,2,347,279
2019,충북보은서,230,1,0,71,158
2019,충북영동서,228,0,1,91,136
2019,충북옥천서,312,3,2,124,183
2019,충북음성서,293,0,0,89,204
2019,충북제천서,897,1,1,331,564
2019,충북진천서,980,3,4,386,587
2019,충북청주청원서,688,2,1,245,440
2019,충북청주흥덕서,"2,869",5,8,"1,084","1,772"
2019,충북충주서,"3,017",2,11,"1,438","1,566"
2019,충북청주상당서,"1,795",5,2,832,956
2019,충남천안서북서,"2,265",7,3,909,"1,346"
2019,충남천안동남서,"3,906",9,11,"1,836","2,050"
2019,충남서산서,"2,876",4,2,"1,493","1,377"
2019,충남아산서,"1,463",2,1,466,994
2019,충남논산서,"3,330",7,12,"1,297","2,014"
2019,충남공주서,"1,159",7,0,509,643
2019,충남보령서,849,0,3,374,472
2019,충남당진서,807,1,0,329,477
2019,충남세종서,"1,279",5,1,543,730
2019,충남홍성서,698,2,0,328,368
2019,충남예산서,545,0,0,249,296
2019,충남부여서,433,2,0,234,197
2019,충남서천서,283,1,1,120,161
2019,충남금산서,321,1,0,169,151
2019,충남청양서,132,0,0,58,74
2019,충남태안서,479,1,0,207,271
2019,전북고창서,363,0,1,159,203
2019,전북군산서,"2,577",5,7,925,"1,640"
2019,전북김제서,607,1,0,219,387
2019,전북남원서,559,3,2,202,352
2019,전북무주서,156,0,0,51,105
2019,전북부안서,436,0,1,187,248
2019,전북순창서,154,0,1,72,81
2019,전북완주서,562,0,0,217,345
2019,전북익산서,"2,718",11,2,"1,093","1,612"
2019,전북임실서,116,1,0,39,76
2019,전북장수서,103,0,0,42,61
2019,전북전주덕진서,"2,421",6,5,"1,055","1,355"
2019,전북전주완산서,"2,793",6,5,"1,150","1,632"
2019,전북정읍서,866,1,1,363,501
2019,전북진안서,120,0,0,44,76
2019,전남목포서,"3,291",4,8,"1,225","2,054"
2019,전남여수서,"2,879",1,3,897,"1,978"
2019,전남순천서,"2,475",4,1,782,"1,688"
2019,전남나주서,792,3,4,370,415
2019,전남광양서,"1,129",1,0,372,756
2019,전남고흥서,451,2,1,150,298
2019,전남해남서,477,1,1,201,274
2019,전남장흥서,360,0,0,143,217
2019,전남보성서,264,0,0,109,155
2019,전남영광서,310,1,1,111,197
2019,전남화순서,434,1,0,150,283
2019,전남함평서,194,1,3,80,110
2019,전남영암서,473,1,1,191,280
2019,전남장성서,268,0,0,88,180
2019,전남강진서,297,3,1,75,218
2019,전남담양서,308,0,0,140,168
2019,전남곡성서,149,0,1,52,96
2019,전남완도서,450,1,1,148,300
2019,전남무안서,414,1,1,187,225
2019,전남진도서,270,0,0,111,159
2019,전남구례서,213,0,0,75,138
2019,경북경주서,"2,279",3,5,"1,017","1,254"
2019,경북포항북부서,"2,488",4,1,"1,000","1,483"
2019,경북포항남부서,"2,272",1,3,991,"1,277"
2019,경북구미서,"3,460",5,3,"1,521","1,931"
2019,경북경산서,"2,753",3,3,"1,087","1,660"
2019,경북안동서,"1,310",2,1,458,849
2019,경북김천서,"1,245",2,2,416,825
2019,경북영주서,766,2,2,240,522
2019,경북영천서,879,1,3,358,517
2019,경북상주서,717,2,0,287,428
2019,경북문경서,536,1,0,169,366
2019,경북칠곡서,956,2,1,354,599
2019,경북의성서,347,3,0,151,193
2019,경북청도서,325,1,0,91,233
2019,경북영덕서,297,1,0,109,187
2019,경북울진서,319,1,0,98,220
2019,경북봉화서,148,0,0,45,103
2019,경북예천서,264,1,0,88,175
2019,경북성주서,320,1,1,123,195
2019,경북청송서,214,0,0,44,170
2019,경북영양서,72,0,0,14,58
2019,경북군위서,116,0,0,48,68
2019,경북고령서,163,1,1,78,83
2019,경북울릉서,56,0,0,12,44
2019,경남창원중부서,"2,445",2,3,"1,040","1,400"
2019,경남창원서부서,"1,862",2,3,833,"1,024"
2019,경남마산중부서,"1,303",8,2,454,839
2019,경남마산동부서,"2,077",5,2,840,"1,230"
2019,경남진주서,"3,287",4,3,"1,605","1,675"
2019,경남김해중부서,"3,505",1,7,"1,340","2,157"
2019,경남김해서부서,"1,930",1,2,866,"1,061"
2019,경남양산서,"2,982",4,6,"1,278","1,694"
2019,경남거제서,"2,115",4,2,767,"1,342"
2019,경남진해서,"1,380",1,0,530,849
2019,경남통영서,"1,321",3,4,463,851
2019,경남사천서,930,3,0,269,658
2019,경남밀양서,780,3,0,301,476
2019,경남거창서,411,0,0,130,281
2019,경남합천서,217,1,0,67,149
2019,경남창녕서,289,4,2,108,175
2019,경남고성서,431,3,0,168,260
2019,경남하동서,234,1,0,108,125
2019,경남남해서,252,2,0,82,168
2019,경남함양서,231,0,0,86,145
2019,경남산청서,180,0,0,68,112
2019,경남함안서,305,1,0,107,197
2019,경남의령서,161,0,2,34,125
2019,제주서귀포서,"2,199",4,7,897,"1,291"
2019,제주동부서,"3,135",11,3,"1,173","1,948"
2019,제주서부서,"3,030",5,11,"1,144","1,870"
