,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
0,초등학교,오덕초등학교,강원도 철원군 동송읍 오덕로159,강원도 철원군 동송읍 오덕리 산23,38.2229984579,127.232171,강원도 철원군,철원경찰서,Y,1,6,2020-08-26,4300000,강원도 철원군
1,초등학교,문혜초등학교,강원도 철원군 갈말읍 태봉로1556,강원도 철원군 갈말읍 문혜리 1099-4,38.1868442263,127.3180714284,강원도 철원군,철원경찰서,Y,1,6,2020-08-26,4300000,강원도 철원군
2,어린이집,로이스어린이집,대구광역시 달서구 진천로3길 85-11,대구광역시 달서구 진천동 470-23,35.80974735,128.5214745,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,6,2021-03-15,3470000,대구광역시 달서구
3,어린이집,예원어린이집,대구광역시 달서구 월곡로47안길 33-7,대구광역시 달서구 상인동 588,35.8149995,128.5403876,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,6,2021-03-15,3470000,대구광역시 달서구
4,어린이집,해뜰어린이집,대구광역시 달서구 월곡로47안길 33-4,대구광역시 달서구 상인동 588,35.81479254,128.5403087,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,6,2021-03-15,3470000,대구광역시 달서구
5,어린이집,예능캐슬어린이집,대구광역시 달서구 월곡로26안길 17-7,대구광역시 달서구 상인동 1214,35.80908752,128.5501291,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,6,2021-03-15,3470000,대구광역시 달서구
6,어린이집,토마토어린이집,대구광역시 달서구 성서동로65길 24,대구광역시 달서구 이곡동 1000-195,35.85029219,128.5145444,대구광역시 달서구청,대구광역시 성서경찰서,Y,1,8,2021-03-15,3470000,대구광역시 달서구
7,어린이집,행복한어린이집,대구광역시 달서구 화암로 301,대구광역시 달서구 대곡동 1035,35.80469338,128.5169330161,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,12,2021-03-15,3470000,대구광역시 달서구
8,어린이집,기쁨어린이집,대구광역시 달서구 야외음악당로39길 41,대구광역시 달서구 두류동 614-6,35.85384614,128.5543582,대구광역시 달서구청,대구광역시 성서경찰서,Y,1,8,2021-03-15,3470000,대구광역시 달서구
9,어린이집,동심어린이집,대구광역시 달서구 상화로51길 14,대구광역시 달서구 상인동 1332-343,35.8093979378,128.5425184,대구광역시 달서구청,대구광역시 달서경찰서,Y,1,8,2021-03-15,3470000,대구광역시 달서구
10,초등학교,한동초등학교,제주특별자치도 제주시 구좌읍 일주동로 2831,제주특별자치도 제주시 구좌읍 한동리 1168,33.53912963,126.8290084,자치경찰단 교통정보센터,동부경찰서,Y,3,9~21,2021-07-06,6500000,제주특별자치도
11,유치원,한동초등학교 병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2831,제주특별자치도 제주시 구좌읍 한동리 1168,33.53912963,126.8290084,자치경찰단 교통정보센터,동부경찰서,Y,1,22,2021-07-06,6500000,제주특별자치도
12,초등학교,조천초등학교,제주특별자치도 제주시 조천읍 신북로 195,제주특별자치도 제주시 조천읍 조천리 3140,33.53565426,126.6343499,자치경찰단 교통정보센터,동부경찰서,Y,2,26,2021-07-06,6500000,제주특별자치도
13,유치원,조천초등학교 병설유치원,제주특별자치도 제주시 조천읍 신북로 195,제주특별자치도 제주시 조천읍 조천리 3140,33.53565426,126.6343499,자치경찰단 교통정보센터,동부경찰서,Y,2,10~16,2021-07-06,6500000,제주특별자치도
14,초등학교,광령초등학교,제주특별자치도 제주시 애월읍 광성로 276,제주특별자치도 제주시 애월읍 광령리 1223,33.45925786,126.4362287,자치경찰단 교통정보센터,서부경찰서,Y,3,9~16,2021-07-06,6500000,제주특별자치도
15,유치원,광령초등학교 병설유치원,제주특별자치도 제주시 애월읍 광성로 276,제주특별자치도 제주시 애월읍 광령리 1223,33.45925786,126.4362287,자치경찰단 교통정보센터,서부경찰서,Y,1,12~34,2021-07-06,6500000,제주특별자치도
16,초등학교,장전초등학교,제주특별자치도 제주시 애월읍 장전로 122,제주특별자치도 제주시 애월읍 장전리 435,33.44939437,126.3907374,자치경찰단 교통정보센터,서부경찰서,Y,1,15,2021-07-06,6500000,제주특별자치도
17,유치원,장전초등학교 병설유치원,제주특별자치도 제주시 애월읍 장전로 122,제주특별자치도 제주시 애월읍 장전리 435,33.44939437,126.3907374,자치경찰단 교통정보센터,서부경찰서,Y,2,7~16,2021-07-06,6500000,제주특별자치도
18,초등학교,금악초등학교,제주특별자치도 제주시 한림읍 금악남2길 1,제주특별자치도 제주시 한림읍 금악리 1915,33.35664546,126.2963556,자치경찰단 교통정보센터,서부경찰서,Y,1,3~12,2021-07-06,6500000,제주특별자치도
19,초등학교,김녕초등학교 동복분교,제주특별자치도 제주시 구좌읍 동복로 66-5,제주특별자치도 제주시 구좌읍 동복리 1367,33.55240328,126.7135735,자치경찰단 교통정보센터,동부경찰서,Y,2,13,2021-07-06,6500000,제주특별자치도
20,유치원,김녕초등학교 동복분교 병설유치원,제주특별자치도 제주시 구좌읍 동복로 66-5,제주특별자치도 제주시 구좌읍 동복리 1367,33.55240328,126.7135735,자치경찰단 교통정보센터,동부경찰서,Y,1,5,2021-07-06,6500000,제주특별자치도
21,초등학교,한라초등학교,제주특별자치도 제주시 연화로 42,제주특별자치도 제주시 노형동 754-2,33.4778157,126.4864335,자치경찰단 교통정보센터,서부경찰서,Y,2,6~22,2021-07-06,6500000,제주특별자치도
22,초등학교,도평초등학교,제주특별자치도 제주시 도평길 17,제주특별자치도 제주시 도평동 866,33.48082926,126.4467736,자치경찰단 교통정보센터,서부경찰서,Y,3,8~12,2021-07-06,6500000,제주특별자치도
23,유치원,도평초등학교 병설유치원,제주특별자치도 제주시 도평길 17,제주특별자치도 제주시 도평동 866,33.48082926,126.4467736,자치경찰단 교통정보센터,서부경찰서,Y,3,15,2021-07-06,6500000,제주특별자치도
24,초등학교,물메초등학교,제주특별자치도 제주시 애월읍 엄수로 202-4,제주특별자치도 제주시 애월읍 수산리 1033,33.46618837,126.3914319,자치경찰단 교통정보센터,서부경찰서,Y,3,15~18,2021-07-06,6500000,제주특별자치도
25,유치원,물메초등학교 병설유치원,제주특별자치도 제주시 애월읍 엄수로 202-4,제주특별자치도 제주시 애월읍 수산리 1033,33.46618837,126.3914319,자치경찰단 교통정보센터,서부경찰서,N,0,28,2021-07-06,6500000,제주특별자치도
26,초등학교,고산초등학교,제주특별자치도 제주시 한경면 고산로1길 16,제주특별자치도 제주시 한경면 고산리 2684-1,33.30452697,126.1768735,자치경찰단 교통정보센터,서부경찰서,Y,1,16,2021-07-06,6500000,제주특별자치도
27,초등학교,초은초등학교,인천광역시 서구 청라에메랄드로 33,인천광역시 서구 청라동 192-3,37.52842328,126.6558469,인천서구청,인천서부경찰서,N,1,,2021-03-12,3560000,인천광역시 서구
28,초등학교,청일초등학교,인천광역시 서구 크리스탈로 46,인천광역시 서구 경서동 970-2,37.52925815,126.6373616,인천서구청,인천서부경찰서,N,6,,2021-03-12,3560000,인천광역시 서구
29,유치원,은하유치원,인천광역시 서구 완정로10번길 20,인천광역시 서구 마전동 1008-12,37.5960062,126.6740746,인천서구청,인천서부경찰서,Y,1,,2021-03-12,3560000,인천광역시 서구
30,유치원,예일유치원,인천광역시 서구 장고개로337번길 12,인천광역시 서구 가좌동 19,37.4930408,126.685842,인천서구청,인천서부경찰서,Y,1,,2021-03-12,3560000,인천광역시 서구
31,유치원,아림유치원,인천광역시 서구 장고개로 375-11,인천광역시 서구 가좌동 2-12,37.49556495,126.6908008,인천서구청,인천서부경찰서,N,0,,2021-03-12,3560000,인천광역시 서구
32,유치원,미일유치원,인천광역시 서구 서달로 153-1,인천광역시 서구 석남동 470-7,37.51232333,126.6785404,인천서구청,인천서부경찰서,Y,1,,2021-03-12,3560000,인천광역시 서구
33,유치원,한샘유치원,인천광역시 서구 율로도15번길 26,인천광역시 서구 신현동 173-81,37.51636205,126.6649576,인천서구청,인천서부경찰서,Y,1,,2021-03-12,3560000,인천광역시 서구
