시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
부산광역시,서구,동대신1동,0,0.0,0.0
부산광역시,서구,동대신2동,0,0.0,0.0
부산광역시,서구,동대신3동,0,0.0,0.0
부산광역시,서구,서대신1동,0,0.0,0.0
부산광역시,서구,서대신3동,0,0.0,0.0
부산광역시,서구,서대신4동,0,0.0,0.0
부산광역시,서구,부민동,1,0.0,0.0
부산광역시,서구,아미동,1,0.0,0.0
부산광역시,서구,초장동,1,3.0,0.039473684210526314
부산광역시,서구,충무동,1,0.0,0.0
부산광역시,서구,남부민1동,0,0.0,0.0
부산광역시,서구,남부민2동,0,0.0,0.0
부산광역시,서구,암남동,1,17.0,0.2236842105263158
부산광역시,서구,남부민동,1,11.0,0.14473684210526316
부산광역시,서구,동대신동2가,0,4.0,0.05263157894736842
부산광역시,서구,동대신동3가,0,7.0,0.09210526315789473
부산광역시,서구,부민동1가,0,2.0,0.02631578947368421
부산광역시,서구,부민동3가,0,1.0,0.013157894736842105
부산광역시,서구,부용동1가,0,1.0,0.013157894736842105
부산광역시,서구,부용동2가,0,3.0,0.039473684210526314
부산광역시,서구,서대신동1가,0,1.0,0.013157894736842105
부산광역시,서구,서대신동2가,0,1.0,0.013157894736842105
부산광역시,서구,서대신동3가,0,13.0,0.17105263157894737
부산광역시,서구,아미동2가,0,1.0,0.013157894736842105
부산광역시,서구,충무동1가,0,4.0,0.05263157894736842
부산광역시,서구,충무동2가,0,2.0,0.02631578947368421
부산광역시,서구,충무동3가,0,1.0,0.013157894736842105
부산광역시,서구,토성동1가,0,2.0,0.02631578947368421
부산광역시,서구,토성동2가,0,2.0,0.02631578947368421
