시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
서울특별시,성동구,금호동1가,0,4,0.02030456852791878
서울특별시,성동구,금호동2가,0,3,0.015228426395939087
서울특별시,성동구,금호동3가,0,7,0.03553299492385787
서울특별시,성동구,금호동4가,0,11,0.05583756345177665
서울특별시,성동구,도선동,0,1,0.005076142131979695
서울특별시,성동구,마장동,0,16,0.08121827411167512
서울특별시,성동구,사근동,0,10,0.050761421319796954
서울특별시,성동구,성수동1가,0,28,0.14213197969543148
서울특별시,성동구,성수동2가,0,63,0.3197969543147208
서울특별시,성동구,송정동,0,5,0.025380710659898477
서울특별시,성동구,옥수동,0,4,0.02030456852791878
서울특별시,성동구,용답동,0,10,0.050761421319796954
서울특별시,성동구,응봉동,0,7,0.03553299492385787
서울특별시,성동구,하왕십리동,0,8,0.04060913705583756
서울특별시,성동구,행당동,0,18,0.09137055837563451
서울특별시,성동구,홍익동,0,2,0.01015228426395939
