시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
서울특별시,성북구,길음동,0,10,0.0546448087431694
서울특별시,성북구,돈암동,0,6,0.03278688524590164
서울특별시,성북구,동선동1가,0,2,0.01092896174863388
서울특별시,성북구,동선동3가,0,6,0.03278688524590164
서울특별시,성북구,동선동4가,0,3,0.01639344262295082
서울특별시,성북구,동소문동1가,0,3,0.01639344262295082
서울특별시,성북구,동소문동2가,0,1,0.00546448087431694
서울특별시,성북구,동소문동4가,0,2,0.01092896174863388
서울특별시,성북구,동소문동5가,0,1,0.00546448087431694
서울특별시,성북구,동소문동6가,0,1,0.00546448087431694
서울특별시,성북구,동소문동7가,0,1,0.00546448087431694
서울특별시,성북구,보문동1가,0,1,0.00546448087431694
서울특별시,성북구,보문동2가,0,1,0.00546448087431694
서울특별시,성북구,보문동4가,0,3,0.01639344262295082
서울특별시,성북구,보문동5가,0,2,0.01092896174863388
서울특별시,성북구,보문동6가,0,3,0.01639344262295082
서울특별시,성북구,보문동7가,0,1,0.00546448087431694
서울특별시,성북구,삼선동1가,0,7,0.03825136612021858
서울특별시,성북구,삼선동2가,0,1,0.00546448087431694
서울특별시,성북구,상월곡동,0,2,0.01092896174863388
서울특별시,성북구,석관동,0,13,0.07103825136612021
서울특별시,성북구,성북동,0,7,0.03825136612021858
서울특별시,성북구,안암동1가,0,2,0.01092896174863388
서울특별시,성북구,안암동2가,0,1,0.00546448087431694
서울특별시,성북구,안암동3가,0,1,0.00546448087431694
서울특별시,성북구,안암동4가,0,3,0.01639344262295082
서울특별시,성북구,안암동5가,0,9,0.04918032786885246
서울특별시,성북구,장위동,0,28,0.15300546448087432
서울특별시,성북구,정릉동,0,38,0.20765027322404372
서울특별시,성북구,종암동,0,9,0.04918032786885246
서울특별시,성북구,하월곡동,0,15,0.08196721311475409
