시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
서울특별시,종로구,계동,0,1,0.004273504273504274
서울특별시,종로구,공평동,0,1,0.004273504273504274
서울특별시,종로구,관수동,0,1,0.004273504273504274
서울특별시,종로구,관철동,0,6,0.02564102564102564
서울특별시,종로구,관훈동,0,4,0.017094017094017096
서울특별시,종로구,교남동,0,1,0.004273504273504274
서울특별시,종로구,교북동,0,1,0.004273504273504274
서울특별시,종로구,낙원동,0,6,0.02564102564102564
서울특별시,종로구,내수동,0,1,0.004273504273504274
서울특별시,종로구,내자동,0,1,0.004273504273504274
서울특별시,종로구,누상동,0,2,0.008547008547008548
서울특별시,종로구,누하동,0,2,0.008547008547008548
서울특별시,종로구,당주동,0,2,0.008547008547008548
서울특별시,종로구,도렴동,0,1,0.004273504273504274
서울특별시,종로구,돈의동,0,3,0.01282051282051282
서울특별시,종로구,동숭동,0,10,0.042735042735042736
서울특별시,종로구,명륜1가,0,4,0.017094017094017096
서울특별시,종로구,명륜2가,0,7,0.029914529914529916
서울특별시,종로구,명륜3가,0,2,0.008547008547008548
서울특별시,종로구,명륜4가,0,6,0.02564102564102564
서울특별시,종로구,묘동,0,1,0.004273504273504274
서울특별시,종로구,무악동,0,8,0.03418803418803419
서울특별시,종로구,봉익동,0,3,0.01282051282051282
서울특별시,종로구,부암동,0,8,0.03418803418803419
서울특별시,종로구,사직동,0,3,0.01282051282051282
서울특별시,종로구,삼청동,0,3,0.01282051282051282
서울특별시,종로구,서린동,0,3,0.01282051282051282
서울특별시,종로구,세종로,0,5,0.021367521367521368
서울특별시,종로구,소격동,0,1,0.004273504273504274
서울특별시,종로구,송월동,0,1,0.004273504273504274
서울특별시,종로구,수송동,0,1,0.004273504273504274
서울특별시,종로구,숭인동,0,19,0.0811965811965812
서울특별시,종로구,신교동,0,1,0.004273504273504274
서울특별시,종로구,신문로1가,0,1,0.004273504273504274
서울특별시,종로구,신영동,0,3,0.01282051282051282
서울특별시,종로구,안국동,0,1,0.004273504273504274
서울특별시,종로구,연건동,0,3,0.01282051282051282
서울특별시,종로구,연지동,0,2,0.008547008547008548
서울특별시,종로구,옥인동,0,2,0.008547008547008548
서울특별시,종로구,원남동,0,1,0.004273504273504274
서울특별시,종로구,원서동,0,1,0.004273504273504274
서울특별시,종로구,이화동,0,2,0.008547008547008548
서울특별시,종로구,익선동,0,5,0.021367521367521368
서울특별시,종로구,인사동,0,5,0.021367521367521368
서울특별시,종로구,인의동,0,3,0.01282051282051282
서울특별시,종로구,장사동,0,2,0.008547008547008548
서울특별시,종로구,재동,0,2,0.008547008547008548
서울특별시,종로구,적선동,0,3,0.01282051282051282
서울특별시,종로구,종로2가,0,3,0.01282051282051282
서울특별시,종로구,종로3가,0,3,0.01282051282051282
서울특별시,종로구,종로4가,0,3,0.01282051282051282
서울특별시,종로구,종로5가,0,4,0.017094017094017096
서울특별시,종로구,창성동,0,1,0.004273504273504274
서울특별시,종로구,창신동,0,24,0.10256410256410256
서울특별시,종로구,청운동,0,1,0.004273504273504274
서울특별시,종로구,청진동,0,1,0.004273504273504274
서울특별시,종로구,체부동,0,3,0.01282051282051282
서울특별시,종로구,충신동,0,3,0.01282051282051282
서울특별시,종로구,통의동,0,1,0.004273504273504274
서울특별시,종로구,통인동,0,1,0.004273504273504274
서울특별시,종로구,평창동,0,13,0.05555555555555555
서울특별시,종로구,필운동,0,4,0.017094017094017096
서울특별시,종로구,행촌동,0,1,0.004273504273504274
서울특별시,종로구,혜화동,0,7,0.029914529914529916
서울특별시,종로구,홍지동,0,2,0.008547008547008548
서울특별시,종로구,홍파동,0,1,0.004273504273504274
서울특별시,종로구,화동,0,1,0.004273504273504274
서울특별시,종로구,효제동,0,1,0.004273504273504274
서울특별시,종로구,훈정동,0,1,0.004273504273504274
