시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
전라북도,고창군,고창읍,1,24,0.17142857142857143
전라북도,고창군,고수면,1,9,0.06428571428571428
전라북도,고창군,아산면,1,10,0.07142857142857142
전라북도,고창군,무장면,1,13,0.09285714285714286
전라북도,고창군,공음면,1,8,0.05714285714285714
전라북도,고창군,상하면,1,9,0.06428571428571428
전라북도,고창군,해리면,1,8,0.05714285714285714
전라북도,고창군,성송면,1,8,0.05714285714285714
전라북도,고창군,대산면,0,12,0.08571428571428572
전라북도,고창군,심원면,1,4,0.02857142857142857
전라북도,고창군,흥덕면,1,13,0.09285714285714286
전라북도,고창군,성내면,1,7,0.05
전라북도,고창군,신림면,1,4,0.02857142857142857
전라북도,고창군,부안면,1,11,0.07857142857142857
