시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
충청남도,아산시,염치읍,0,10.0,0.0346020761245674
충청남도,아산시,배방읍,0,35.0,0.1211072664359861
충청남도,아산시,송악면,1,9.0,0.0311418685121107
충청남도,아산시,탕정면,0,18.0,0.0622837370242214
충청남도,아산시,음봉면,1,35.0,0.1211072664359861
충청남도,아산시,둔포면,1,28.0,0.0968858131487889
충청남도,아산시,영인면,1,26.0,0.0899653979238754
충청남도,아산시,인주면,1,15.0,0.0519031141868512
충청남도,아산시,선장면,1,8.0,0.0276816608996539
충청남도,아산시,도고면,1,12.0,0.0415224913494809
충청남도,아산시,신창면,0,28.0,0.0968858131487889
충청남도,아산시,온양동,0,0.0,0.0
충청남도,아산시,권곡동,0,9.0,0.0311418685121107
충청남도,아산시,득산동,0,8.0,0.0276816608996539
충청남도,아산시,모종동,0,7.0,0.0242214532871972
충청남도,아산시,방축동,0,2.0,0.0069204152249134
충청남도,아산시,배미동,0,1.0,0.0034602076124567
충청남도,아산시,법곡동,0,1.0,0.0034602076124567
충청남도,아산시,실옥동,0,1.0,0.0034602076124567
충청남도,아산시,온천동,0,18.0,0.0622837370242214
충청남도,아산시,용화동,0,8.0,0.0276816608996539
충청남도,아산시,장존동,0,2.0,0.0069204152249134
충청남도,아산시,점양동,0,1.0,0.0034602076124567
충청남도,아산시,좌부동,0,1.0,0.0034602076124567
충청남도,아산시,초사동,0,3.0,0.0103806228373702
충청남도,아산시,풍기동,0,3.0,0.0103806228373702
