,시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
0,강원도,춘천시,신북읍,1.0,33.0,0.11
1,강원도,춘천시,동산면,1.0,11.0,0.04
2,강원도,춘천시,동내면,1.0,24.0,0.08
3,강원도,춘천시,남산면,0.0,18.0,0.06
4,강원도,춘천시,사북면,1.0,9.0,0.03
5,강원도,춘천시,소양동,0.0,,
6,강원도,춘천시,조운동,0.0,,
7,강원도,춘천시,근화동,1.0,6.0,0.02
8,강원도,춘천시,후평동,1.0,24.0,0.08
9,강원도,춘천시,후평동,1.0,24.0,0.08
10,강원도,춘천시,효자동,1.0,15.0,0.05
11,강원도,춘천시,퇴계동,1.0,19.0,0.07
12,강원도,춘천시,신사우동,0.0,,
13,강원도,춘천시,동면,1.0,17.0,0.06
14,강원도,춘천시,신동면,1.0,7.0,0.02
15,강원도,춘천시,남면,0.0,7.0,0.02
16,강원도,춘천시,서면,1.0,20.0,0.07
17,강원도,춘천시,북산면,0.0,7.0,0.02
18,강원도,춘천시,교동,1.0,3.0,0.01
19,강원도,춘천시,약사명동,0.0,,
20,강원도,춘천시,석사동,1.0,16.0,0.06
21,강원도,춘천시,강남동,0.0,,
22,강원도,춘천시,낙원동,0.0,1.0,0.0
23,강원도,춘천시,사농동,1.0,3.0,0.01
24,강원도,춘천시,삼천동,0.0,7.0,0.02
25,강원도,춘천시,소양로1가,0.0,3.0,0.01
26,강원도,춘천시,송암동,0.0,3.0,0.01
27,강원도,춘천시,신동,1.0,6.0,0.02
28,강원도,춘천시,약사동,1.0,5.0,0.02
29,강원도,춘천시,옥천동,1.0,1.0,0.0
30,강원도,춘천시,온의동,0.0,8.0,0.03
31,강원도,춘천시,우두동,1.0,7.0,0.02
32,강원도,춘천시,조양동,1.0,3.0,0.01
33,강원도,춘천시,중도동,0.0,1.0,0.0
34,강원도,춘천시,중앙로1가,0.0,1.0,0.0
35,강원도,춘천시,중앙로3가,0.0,1.0,0.0
36,강원도,춘천시,칠전동,0.0,3.0,0.01
37,강원도,강릉시,주문진읍,1.0,26.0,0.09
38,강원도,강릉시,성산면,0.0,19.0,0.06
39,강원도,강릉시,왕산면,0.0,8.0,0.03
40,강원도,강릉시,구정면,0.0,8.0,0.03
41,강원도,강릉시,강동면,1.0,25.0,0.08
42,강원도,강릉시,옥계면,0.0,13.0,0.04
43,강원도,강릉시,사천면,0.0,19.0,0.06
44,강원도,강릉시,연곡면,0.0,12.0,0.04
45,강원도,강릉시,홍제동,0.0,9.0,0.03
46,강원도,강릉시,중앙동,0.0,,
47,강원도,강릉시,옥천동,0.0,11.0,0.04
48,강원도,강릉시,교동,0.0,24.0,0.08
49,강원도,강릉시,포남동,0.0,20.0,0.07
50,강원도,강릉시,초당동,0.0,3.0,0.01
51,강원도,강릉시,송정동,0.0,3.0,0.01
52,강원도,강릉시,내곡동,0.0,13.0,0.04
53,강원도,강릉시,강남동,0.0,,
54,강원도,강릉시,성덕동,0.0,,
55,강원도,강릉시,경포동,0.0,,
56,강원도,강릉시,강문동,1.0,7.0,0.02
57,강원도,강릉시,견소동,1.0,2.0,0.01
58,강원도,강릉시,금학동,0.0,7.0,0.02
59,강원도,강릉시,난곡동,0.0,1.0,0.0
60,강원도,강릉시,남문동,0.0,3.0,0.01
61,강원도,강릉시,남항진동,0.0,1.0,0.0
62,강원도,강릉시,노암동,0.0,13.0,0.04
63,강원도,강릉시,담산동,0.0,2.0,0.01
64,강원도,강릉시,대전동,0.0,1.0,0.0
65,강원도,강릉시,두산동,0.0,5.0,0.02
66,강원도,강릉시,박월동,0.0,3.0,0.01
67,강원도,강릉시,병산동,0.0,2.0,0.01
68,강원도,강릉시,성남동,0.0,2.0,0.01
69,강원도,강릉시,신석동,0.0,1.0,0.0
70,강원도,강릉시,안현동,1.0,6.0,0.02
71,강원도,강릉시,용강동,0.0,1.0,0.0
72,강원도,강릉시,운정동,0.0,1.0,0.0
73,강원도,강릉시,유산동,0.0,2.0,0.01
74,강원도,강릉시,유천동,0.0,3.0,0.01
75,강원도,강릉시,임당동,0.0,7.0,0.02
76,강원도,강릉시,입암동,0.0,6.0,0.02
77,강원도,강릉시,저동,0.0,2.0,0.01
78,강원도,강릉시,죽헌동,0.0,1.0,0.0
79,강원도,강릉시,지변동,0.0,5.0,0.02
80,강원도,강릉시,청량동,0.0,1.0,0.0
81,강원도,강릉시,학동,0.0,1.0,0.0
82,강원도,인제군,인제읍,1.0,19.0,0.24
83,강원도,인제군,남면,1.0,8.0,0.1
84,강원도,인제군,북면,1.0,15.0,0.19
85,강원도,인제군,기린면,1.0,14.0,0.18
86,강원도,인제군,서화면,1.0,11.0,0.14
87,강원도,인제군,상남면,1.0,11.0,0.14
