Column1,시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
3,서울특별시,관악구,낙성대동,17579,0.001762429,4
18,서울특별시,관악구,난곡동,28054,0.002812628,0
12,서울특별시,관악구,난향동,15915,0.0015956,0
6,서울특별시,관악구,남현동,18598,0.001864592,4
14,서울특별시,관악구,대학동,24907,0.002497117,0
20,서울특별시,관악구,미성동,31787,0.00318689,0
0,서울특별시,관악구,보라매동,25278,0.002534313,5
19,서울특별시,관악구,삼성동,23935,0.002399667,0
9,서울특별시,관악구,서림동,24410,0.002447289,0
7,서울특별시,관악구,서원동,23565,0.002362571,5
16,서울특별시,관악구,성현동,30472,0.003055051,5
11,서울특별시,관악구,신림동,22667,0.00227254,50
10,서울특별시,관악구,신사동,25426,0.002549151,0
8,서울특별시,관악구,신원동,19290,0.00193397,0
15,서울특별시,관악구,은천동,34595,0.003468413,5
5,서울특별시,관악구,인헌동,26500,0.002656828,5
13,서울특별시,관악구,조원동,19232,0.001928155,0
4,서울특별시,관악구,중앙동,15758,0.00157986,5
17,서울특별시,관악구,청룡동,36325,0.003641859,5
1,서울특별시,관악구,청림동,15711,0.001575148,5
2,서울특별시,관악구,행운동,29799,0.002987577,5
