Column1,시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
8,서울특별시,중구,광희1가,3208,0.000321627,0
9,서울특별시,중구,광희2가,3208,0.000321627,0
20,서울특별시,중구,다산동,14725,0.001476294,0
23,서울특별시,중구,동화동,10827,0.001085489,0
2,서울특별시,중구,명동1가,1843,0.000184775,0
3,서울특별시,중구,명동2가,1842,0.000184675,2
0,서울특별시,중구,소공동,3011,0.000301876,0
19,서울특별시,중구,신당동,20058,0.002010968,38
21,서울특별시,중구,약수동,17354,0.001739871,0
10,서울특별시,중구,을지로1가,281,2.81724E-05,0
11,서울특별시,중구,을지로2가,281,2.81724E-05,0
12,서울특별시,중구,을지로3가,281,2.81724E-05,0
13,서울특별시,중구,을지로4가,281,2.81724E-05,
14,서울특별시,중구,을지로5가,281,2.81724E-05,0
15,서울특별시,중구,을지로6가,281,2.81724E-05,0
16,서울특별시,중구,을지로7가,281,2.81724E-05,0
6,서울특별시,중구,장충동1가,2734,0.000274104,0
7,서울특별시,중구,장충동2가,2734,0.000274104,2
18,서울특별시,중구,중림동,12801,0.001283398,2
22,서울특별시,중구,청구동,14281,0.001431779,0
4,서울특별시,중구,필동2가,2377,0.000238312,2
5,서울특별시,중구,필동3가,2377,0.000238312,0
17,서울특별시,중구,황학동,13531,0.001356586,4
1,서울특별시,중구,회현동1가,5757,0.000577183,2
