시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
광주광역시,서구,광천동,8600,0.005809661,4
광주광역시,서구,금호1동,21383,0.014445113,10
광주광역시,서구,금호2동,29651,0.020030494,11
광주광역시,서구,농성1동,11049,0.007464063,2
광주광역시,서구,농성2동,5338,0.003606043,2
광주광역시,서구,동천동,17139,0.011578113,3
광주광역시,서구,상무1동,25407,0.017163494,0
광주광역시,서구,상무2동,24698,0.016684535,0
광주광역시,서구,서창동,5321,0.003594559,0
광주광역시,서구,양3동,4905,0.003313533,0
광주광역시,서구,양동,4214,0.002846734,3
광주광역시,서구,유덕동,11155,0.00753567,0
광주광역시,서구,치평동,31302,0.021145814,6
광주광역시,서구,풍암동,38587,0.026067137,11
광주광역시,서구,화정1동,15626,0.010556018,4
광주광역시,서구,화정2동,21373,0.014438358,4
광주광역시,서구,화정3동,10675,0.00721141,5
광주광역시,서구,화정4동,16243,0.010972828,5
