시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
충청남도,아산시,염치읍,6980.0,0.020956304,3
충청남도,아산시,배방읍,74906.0,0.224892967,20
충청남도,아산시,송악면,4355.0,0.013075172,2
충청남도,아산시,탕정면,21879.0,0.065688105,5
충청남도,아산시,음봉면,20996.0,0.063037043,5
충청남도,아산시,둔포면,25135.0,0.075463711,6
충청남도,아산시,영인면,6397.0,0.019205942,3
충청남도,아산시,인주면,7478.0,0.022451467,2
충청남도,아산시,선장면,3664.0,0.011000558,2
충청남도,아산시,도고면,4630.0,0.013900815,2
충청남도,아산시,신창면,25247.0,0.075799972,5
충청남도,아산시,온양1동,10085.0,0.030278557,0
충청남도,아산시,온양2동,7869.0,0.023625381,0
충청남도,아산시,온양3동,37848.0,0.113632406,0
충청남도,아산시,온양4동,19078.0,0.057278563,0
충청남도,아산시,온양5동,26973.0,0.080982004,0
충청남도,아산시,온양6동,29554.0,0.088731033,0
