시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
광주광역시,광산구,송정1동,0,0.0,0.0
광주광역시,광산구,송정2동,0,0.0,0.0
광주광역시,광산구,도산동,1,8.0,0.027210884353741496
광주광역시,광산구,신흥동,0,0.0,0.0
광주광역시,광산구,어룡동,0,0.0,0.0
광주광역시,광산구,우산동,1,16.0,0.05442176870748299
광주광역시,광산구,월곡1동,0,0.0,0.0
광주광역시,광산구,월곡2동,0,0.0,0.0
광주광역시,광산구,비아동,1,6.0,0.02040816326530612
광주광역시,광산구,첨단1동,0,0.0,0.0
광주광역시,광산구,첨단2동,0,0.0,0.0
광주광역시,광산구,신가동,1,21.0,0.07142857142857142
광주광역시,광산구,운남동,1,11.0,0.03741496598639456
광주광역시,광산구,수완동,0,18.0,0.061224489795918366
광주광역시,광산구,하남동,0,10.0,0.034013605442176874
광주광역시,광산구,임곡동,0,2.0,0.006802721088435374
광주광역시,광산구,동곡동,0,0.0,0.0
광주광역시,광산구,평동,0,0.0,0.0
광주광역시,광산구,삼도동,0,1.0,0.003401360544217687
광주광역시,광산구,본량동,0,0.0,0.0
광주광역시,광산구,신창동,1,16.0,0.05442176870748299
광주광역시,광산구,고룡동,0,3.0,0.01020408163265306
광주광역시,광산구,광산동,0,1.0,0.003401360544217687
광주광역시,광산구,남산동,0,3.0,0.01020408163265306
광주광역시,광산구,대산동,0,1.0,0.003401360544217687
광주광역시,광산구,도덕동,0,2.0,0.006802721088435374
광주광역시,광산구,도천동,0,7.0,0.023809523809523808
광주광역시,광산구,동산동,0,2.0,0.006802721088435374
광주광역시,광산구,명화동,0,1.0,0.003401360544217687
광주광역시,광산구,박호동,0,2.0,0.006802721088435374
광주광역시,광산구,복룡동,1,4.0,0.013605442176870748
광주광역시,광산구,본덕동,1,4.0,0.013605442176870748
광주광역시,광산구,북산동,0,1.0,0.003401360544217687
광주광역시,광산구,사호동,0,1.0,0.003401360544217687
광주광역시,광산구,산막동,0,2.0,0.006802721088435374
광주광역시,광산구,산수동,0,1.0,0.003401360544217687
광주광역시,광산구,산월동,0,2.0,0.006802721088435374
광주광역시,광산구,산정동,1,4.0,0.013605442176870748
광주광역시,광산구,선암동,0,2.0,0.006802721088435374
광주광역시,광산구,소촌동,1,7.0,0.023809523809523808
광주광역시,광산구,송대동,0,1.0,0.003401360544217687
광주광역시,광산구,송산동,0,3.0,0.01020408163265306
광주광역시,광산구,송정동,1,6.0,0.02040816326530612
광주광역시,광산구,송촌동,0,3.0,0.01020408163265306
광주광역시,광산구,송치동,0,2.0,0.006802721088435374
광주광역시,광산구,송학동,0,1.0,0.003401360544217687
광주광역시,광산구,신동,0,2.0,0.006802721088435374
광주광역시,광산구,신룡동,0,1.0,0.003401360544217687
광주광역시,광산구,신촌동,1,8.0,0.027210884353741496
광주광역시,광산구,쌍암동,0,5.0,0.017006802721088437
광주광역시,광산구,안청동,0,7.0,0.023809523809523808
광주광역시,광산구,연산동,1,4.0,0.013605442176870748
광주광역시,광산구,오산동,0,2.0,0.006802721088435374
광주광역시,광산구,오선동,0,3.0,0.01020408163265306
광주광역시,광산구,오운동,0,1.0,0.003401360544217687
광주광역시,광산구,옥동,1,5.0,0.017006802721088437
광주광역시,광산구,요기동,0,1.0,0.003401360544217687
광주광역시,광산구,용곡동,0,1.0,0.003401360544217687
광주광역시,광산구,용동,1,3.0,0.01020408163265306
광주광역시,광산구,용봉동,0,2.0,0.006802721088435374
광주광역시,광산구,운수동,1,3.0,0.01020408163265306
광주광역시,광산구,월계동,1,15.0,0.05102040816326531
광주광역시,광산구,월곡동,1,11.0,0.03741496598639456
광주광역시,광산구,월전동,0,4.0,0.013605442176870748
광주광역시,광산구,유계동,0,4.0,0.013605442176870748
광주광역시,광산구,장덕동,0,13.0,0.04421768707482993
광주광역시,광산구,장록동,0,3.0,0.01020408163265306
광주광역시,광산구,장수동,0,2.0,0.006802721088435374
광주광역시,광산구,지정동,0,4.0,0.013605442176870748
광주광역시,광산구,지죽동,0,1.0,0.003401360544217687
광주광역시,광산구,지평동,0,3.0,0.01020408163265306
광주광역시,광산구,진곡동,0,7.0,0.023809523809523808
광주광역시,광산구,하산동,0,3.0,0.01020408163265306
광주광역시,광산구,흑석동,0,1.0,0.003401360544217687
