,시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
0,전라북도,고창군,고창읍,1.0,24.0,0.1714285714285714
1,전라북도,고창군,고수면,1.0,9.0,0.0642857142857142
2,전라북도,고창군,아산면,1.0,10.0,0.0714285714285714
3,전라북도,고창군,무장면,1.0,13.0,0.0928571428571428
4,전라북도,고창군,공음면,1.0,8.0,0.0571428571428571
5,전라북도,고창군,상하면,1.0,9.0,0.0642857142857142
6,전라북도,고창군,해리면,1.0,8.0,0.0571428571428571
7,전라북도,고창군,성송면,1.0,8.0,0.0571428571428571
8,전라북도,고창군,대산면,0.0,12.0,0.0857142857142857
9,전라북도,고창군,심원면,1.0,4.0,0.0285714285714285
10,전라북도,고창군,흥덕면,1.0,13.0,0.0928571428571428
11,전라북도,고창군,성내면,1.0,7.0,0.05
12,전라북도,고창군,신림면,1.0,4.0,0.0285714285714285
13,전라북도,고창군,부안면,1.0,11.0,0.0785714285714285
14,전라북도,무주군,무주읍,1.0,9.0,0.2368421052631578
15,전라북도,무주군,무풍면,1.0,2.0,0.0526315789473684
16,전라북도,무주군,설천면,1.0,7.0,0.1842105263157894
17,전라북도,무주군,적상면,1.0,9.0,0.2368421052631578
18,전라북도,무주군,안성면,1.0,8.0,0.2105263157894736
19,전라북도,무주군,부남면,1.0,3.0,0.0789473684210526
20,전라북도,정읍시,신태인읍,0.0,11.0,0.0696202531645569
21,전라북도,정읍시,북면,0.0,10.0,0.0632911392405063
22,전라북도,정읍시,입암면,0.0,9.0,0.0569620253164556
23,전라북도,정읍시,소성면,0.0,8.0,0.050632911392405
24,전라북도,정읍시,고부면,0.0,12.0,0.0759493670886076
25,전라북도,정읍시,영원면,0.0,6.0,0.0379746835443038
26,전라북도,정읍시,덕천면,0.0,5.0,0.0316455696202531
27,전라북도,정읍시,이평면,0.0,8.0,0.050632911392405
28,전라북도,정읍시,정우면,0.0,10.0,0.0632911392405063
29,전라북도,정읍시,태인면,0.0,4.0,0.0253164556962025
30,전라북도,정읍시,감곡면,0.0,12.0,0.0759493670886076
31,전라북도,정읍시,옹동면,0.0,3.0,0.0189873417721519
32,전라북도,정읍시,칠보면,0.0,4.0,0.0253164556962025
33,전라북도,정읍시,산내면,0.0,4.0,0.0253164556962025
34,전라북도,정읍시,산외면,0.0,3.0,0.0189873417721519
35,전라북도,정읍시,수성동,0.0,8.0,0.050632911392405
36,전라북도,정읍시,장명동,0.0,0.0,0.0
37,전라북도,정읍시,내장상동,0.0,0.0,0.0
38,전라북도,정읍시,시기동,0.0,6.0,0.0379746835443038
39,전라북도,정읍시,초산동,0.0,0.0,0.0
40,전라북도,정읍시,연지동,0.0,5.0,0.0316455696202531
41,전라북도,정읍시,농소동,0.0,3.0,0.0189873417721519
42,전라북도,정읍시,상교동,0.0,0.0,0.0
43,전라북도,정읍시,공평동,0.0,2.0,0.0126582278481012
44,전라북도,정읍시,과교동,0.0,1.0,0.0063291139240506
45,전라북도,정읍시,교암동,0.0,1.0,0.0063291139240506
46,전라북도,정읍시,금붕동,0.0,1.0,0.0063291139240506
47,전라북도,정읍시,망제동,0.0,2.0,0.0126582278481012
48,전라북도,정읍시,부전동,0.0,2.0,0.0126582278481012
49,전라북도,정읍시,상동,0.0,3.0,0.0189873417721519
50,전라북도,정읍시,상평동,0.0,1.0,0.0063291139240506
51,전라북도,정읍시,신월동,0.0,3.0,0.0189873417721519
52,전라북도,정읍시,신정동,0.0,3.0,0.0189873417721519
53,전라북도,정읍시,쌍암동,0.0,2.0,0.0126582278481012
54,전라북도,정읍시,용계동,0.0,1.0,0.0063291139240506
55,전라북도,정읍시,하모동,0.0,1.0,0.0063291139240506
56,전라북도,정읍시,하북동,0.0,3.0,0.0189873417721519
57,전라북도,정읍시,흑암동,0.0,1.0,0.0063291139240506
