,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,광주광역시,광산구,송정1동,0,0.0
1,광주광역시,광산구,송정2동,0,0.0
2,광주광역시,광산구,도산동,1,8.0
3,광주광역시,광산구,신흥동,0,0.0
4,광주광역시,광산구,어룡동,0,0.0
5,광주광역시,광산구,우산동,1,0.0
6,광주광역시,광산구,월곡1동,0,0.0
7,광주광역시,광산구,월곡2동,0,0.0
8,광주광역시,광산구,비아동,1,6.0
9,광주광역시,광산구,첨단1동,0,0.0
10,광주광역시,광산구,첨단2동,0,0.0
11,광주광역시,광산구,신가동,1,0.0
12,광주광역시,광산구,운남동,1,0.0
13,광주광역시,광산구,신창동,1,0.0
14,광주광역시,광산구,수완동,0,0.0
15,광주광역시,광산구,하남동,0,0.0
16,광주광역시,광산구,임곡동,0,0.0
17,광주광역시,광산구,동곡동,0,0.0
18,광주광역시,광산구,평동,0,0.0
19,광주광역시,광산구,삼도동,0,1.0
20,광주광역시,광산구,본량동,0,0.0
